id,type,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
12340,tdpseTerbit,141122007539300010001,AKUN M.I.M,mim.my.id,Sektor Teknologi Informasi dan Komunikasi,CITRA AKSARA UTAMA,2022-11-16,008501.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/3d0f1c92871d195c30e5e32c6e2a1fa7.png,TERDAFTAR,12134
12366,tdpseTerbit,812010593006300020089,PHILIPS ECOLINK,ecolink.lighting,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",SIGNIFY COMMERCIAL INDONESIA,2022-11-17,008500.09/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/b463bb29af2a3dc6f7d53cf7eda4ec67.png,TERDAFTAR,12161
12365,tdpseTerbit,812010593006300020088,PHILIPS ECLAIM,apacsmart.com,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",SIGNIFY COMMERCIAL INDONESIA,2022-11-17,008500.08/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/429ba5c5602841248e5811db29e18f3e.png,TERDAFTAR,12160
12364,tdpseTerbit,812010593006300020087,PHILIPS ARWEB,apacsmart.com,Sektor Teknologi Informasi dan Komunikasi,SIGNIFY COMMERCIAL INDONESIA,2022-11-17,008500.07/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/35fe87914b1e70b80f54e4ead694b6a4.png,TERDAFTAR,12159
12363,tdpseTerbit,812010593006300020086,PHILIPS LIGHTING E-SHOP,eshop.lighting.philips.com,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",SIGNIFY COMMERCIAL INDONESIA,2022-11-17,008500.06/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/a372520733b55f908fbf6441fa87cd98.png,TERDAFTAR,12158
12362,tdpseTerbit,812010593006300020085,SIGNIFY FUNNEL MANAGEMENT (SFM),specifierclub.signify.com,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",SIGNIFY COMMERCIAL INDONESIA,2022-11-17,008500.05/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/39e47e44d746b06ff175c8da34a5f5df.png,TERDAFTAR,12157
12347,tdpseTerbit,812010593006300020084,SIGNIFY SPECIFIER CLUB (SSC),specifierclub.signify.com,Sektor Teknologi Informasi dan Komunikasi,SIGNIFY COMMERCIAL INDONESIA,2022-11-17,008500.04/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/c2476f8f2b82ba0cc612443470b731ba.png,TERDAFTAR,12142
12346,tdpseTerbit,812010593006300020083,PCC (PHILIPS CONTRACTOR CLUB),admin.philipscontractorclub.com,Sektor Teknologi Informasi dan Komunikasi,SIGNIFY COMMERCIAL INDONESIA,2022-11-17,008500.03/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/20787275dcce30553770b5e27f755615.png,TERDAFTAR,12141
12344,tdpseTerbit,812010593006300020082,PHILIPS LIGHTING E-STORE,df.philipscontractorclub.com,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",SIGNIFY COMMERCIAL INDONESIA,2022-11-17,008500.02/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/6eb384edc38610e63e8e119d69bd9b8b.png,TERDAFTAR,12140
12343,tdpseTerbit,812010593006300020081,MEET MD,df.philipscontractorclub.com,Sektor Teknologi Informasi dan Komunikasi,SIGNIFY COMMERCIAL INDONESIA,2022-11-17,008500.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/a17cd38e637f351cdb43a89e3119847a.png,TERDAFTAR,12139
